tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0002130	movie	Dante's Inferno	L'Inferno	0	1911	\N	71	"Adventure,Drama,Fantasy"	7.1	2406
tt0002844	movie	Fantômas: In the Shadow of the Guillotine	Fantômas - À l'ombre de la guillotine	0	1913	\N	54	"Crime,Drama"	7	2024
tt0003014	movie	Ingeborg Holm	Ingeborg Holm	0	1913	\N	96	Drama	7.1	1017
tt0003037	movie	Fantomas: The Man in Black	Juve contre Fantômas	0	1913	\N	61	"Crime,Drama"	7	1398
tt0003165	movie	Fantômas: The Dead Man Who Killed	Le mort qui tue	0	1913	\N	90	"Crime,Drama,Mystery"	7	1088
tt0003419	movie	The Student of Prague	Der Student von Prag	0	1913	\N	85	"Drama,Fantasy,Horror"	6.5	1850
tt0003643	movie	The Avenging Conscience: or 'Thou Shalt Not Kill'	The Avenging Conscience: or 'Thou Shalt Not Kill'	0	1914	\N	78	"Crime,Drama,Horror"	6.4	1141
tt0003740	movie	Cabiria	Cabiria	0	1914	\N	148	"Adventure,Drama,History"	7.1	3211
tt0003930	movie	Fantomas: The Mysterious Finger Print	Fantômas contre Fantômas	0	1914	\N	59	"Crime,Drama"	6.9	1193
tt0004026	movie	The Golem	Der Golem	0	1915	\N	60	Horror	6.8	1058
tt0004181	movie	Judith of Bethulia	Judith of Bethulia	0	1914	\N	61	Drama	6.1	1258
tt0004707	movie	Tillie's Punctured Romance	Tillie's Punctured Romance	0	1914	\N	82	Comedy	6.3	3291
tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915	\N	195	"Drama,History,War"	6.3	22926
tt0005078	movie	The Cheat	The Cheat	0	1915	\N	59	"Drama,Romance"	6.6	2373
tt0005960	movie	The Regeneration	The Regeneration	0	1915	\N	72	"Biography,Crime,Drama"	6.8	1149
tt0006206	movie	Les vampires	Les vampires	0	1915	\N	421	"Action,Adventure,Crime"	7.3	4317
tt0006333	movie	"20,000 Leagues Under the Sea"	"20,000 Leagues Under the Sea"	0	1916	\N	105	"Action,Adventure,Sci-Fi"	6.2	1542
tt0006864	movie	Intolerance: Love's Struggle Throughout the Ages	Intolerance: Love's Struggle Throughout the Ages	0	1916	\N	163	"Drama,History"	7.7	14318
tt0008443	movie	The Poor Little Rich Girl	The Poor Little Rich Girl	0	1917	\N	65	"Comedy,Drama,Family"	6.7	1309
tt0008663	movie	A Man There Was	Terje Vigen	0	1917	\N	65	"Drama,War"	7.4	1604
tt0008879	movie	The Outlaw and His Wife	Berg-Ejvind och hans hustru	0	1918	\N	136	Drama	7.2	1576
tt0009369	movie	Mickey	Mickey	0	1918	\N	93	"Comedy,Drama"	5.9	1067
tt0009652	movie	Stella Maris	Stella Maris	0	1918	\N	84	Drama	6.7	1375
tt0009878	movie	Different from the Others	Anders als die Andern	0	1919	\N	50	"Crime,Drama,History"	7	1162
tt0009892	movie	Auction of Souls	Ravished Armenia	0	1919	\N	80	"Drama,History,Romance"	5.9	1093
tt0009893	movie	The Oyster Princess	Die Austernprinzessin	0	1919	\N	60	Comedy	7.2	1692
tt0009937	movie	Blind Husbands	Blind Husbands	0	1919	\N	99	"Drama,Romance"	7	1368
tt0009968	movie	Broken Blossoms	Broken Blossoms or The Yellow Man and the Girl	0	1919	\N	90	"Drama,Romance"	7.3	9503
tt0010040	movie	Daddy-Long-Legs	Daddy-Long-Legs	0	1919	\N	85	"Comedy,Drama"	6.5	1318
tt0010071	movie	Don't Change Your Husband	Don't Change Your Husband	0	1919	\N	71	Comedy	6.6	1129
tt0010247	movie	Sir Arne's Treasure	Herr Arnes pengar	0	1919	\N	122	"Drama,History"	7.2	1216
tt0010281	movie	I Don't Want to Be a Man	Ich möchte kein Mann sein	0	1918	\N	45	"Comedy,Romance"	6.9	1293
tt0010307	movie	J'accuse!	J'accuse	0	1919	\N	166	"Drama,Horror,War"	7.7	1477
tt0010323	movie	The Cabinet of Dr. Caligari	Das Cabinet des Dr. Caligari	0	1920	\N	76	"Fantasy,Horror,Mystery"	8.1	57852
tt0010418	movie	Male and Female	Male and Female	0	1919	\N	116	"Adventure,Drama"	7	1738
tt0010600	movie	The Doll	Die Puppe	0	1919	\N	66	"Comedy,Fantasy"	7.4	1749
tt0010726	movie	The Spiders - Episode 1: The Golden Sea	"Die Spinnen, 1. Teil - Der Goldene See"	0	1919	\N	81	"Adventure,Western"	6.6	1084
tt0010806	movie	True Heart Susie	True Heart Susie	0	1919	\N	87	"Comedy,Drama,Romance"	7	1635
tt0011000	movie	Leaves From Satan's Book	Blade af Satans bog	0	1920	\N	167	Drama	6.7	1103
tt0011130	movie	Dr. Jekyll and Mr. Hyde	Dr. Jekyll and Mr. Hyde	0	1920	\N	69	"Drama,Horror,Sci-Fi"	7	4949
tt0011237	movie	The Golem	"Der Golem, wie er in die Welt kam"	0	1920	\N	76	"Fantasy,Horror"	7.2	6913
tt0011387	movie	The Last of the Mohicans	The Last of the Mohicans	0	1920	\N	73	"Action,Adventure,Drama"	6.7	1137
tt0011439	movie	The Mark of Zorro	The Mark of Zorro	0	1920	\N	79	"Adventure,Romance,Western"	7.1	2236
tt0011565	movie	The Penalty	The Penalty	0	1920	\N	90	"Crime,Drama,Horror"	7.4	2068
tt0011607	movie	The Parson's Widow	Prästänkan	0	1920	\N	94	"Comedy,Drama,Horror"	7.1	1075
tt0011652	movie	The Saphead	The Saphead	0	1920	\N	77	Comedy	6.1	1452
tt0011841	movie	Way Down East	Way Down East	0	1920	\N	145	"Drama,Romance"	7.4	5083
tt0011865	movie	Why Change Your Wife?	Why Change Your Wife?	0	1920	\N	90	"Comedy,Drama"	6.7	1338
tt0011870	movie	Within Our Gates	Within Our Gates	0	1920	\N	79	"Drama,Romance"	6.4	2660
tt0011904	movie	The Ace of Hearts	The Ace of Hearts	0	1921	\N	75	"Crime,Drama,Mystery"	6.8	1088
tt0011909	movie	The Affairs of Anatol	The Affairs of Anatol	0	1921	\N	117	"Comedy,Drama"	6.6	1213
tt0011960	movie	The Wildcat	Die Bergkatze	0	1921	\N	79	"Comedy,Drama,Romance"	6.9	1055
tt0012190	movie	The Four Horsemen of the Apocalypse	The Four Horsemen of the Apocalypse	0	1921	\N	150	"Drama,Romance,War"	7.2	3097
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	"Comedy,Drama,Family"	8.3	114577
